"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"Male",47,1,28,0,"1-2 Year","Yes",60398,124,237,1
"Female",23,1,41,1,"< 1 Year","No",31483,152,125,0
"Male",34,1,6,0,"1-2 Year","Yes",26595,124,274,1
"Male",21,1,32,0,"< 1 Year","Yes",2630,163,284,0
"Male",42,1,28,0,"1-2 Year","Yes",29833,124,18,1
"Male",63,1,43,1,"1-2 Year","No",33008,124,280,0
"Male",33,1,28,0,"1-2 Year","Yes",25674,124,140,1
"Female",67,1,17,0,"> 2 Years","Yes",29349,157,242,0
"Male",44,1,28,0,"> 2 Years","Yes",31891,124,129,0
"Female",48,1,11,0,"1-2 Year","Yes",24361,26,244,1
"Female",24,1,8,1,"< 1 Year","No",30851,152,298,0
"Male",45,1,46,0,"1-2 Year","Yes",23764,26,34,1
"Male",23,1,23,0,"< 1 Year","Yes",27031,26,107,0
"Male",40,1,41,0,"1-2 Year","Yes",28344,31,52,1
"Female",45,1,47,0,"1-2 Year","Yes",2630,156,194,1
"Male",23,1,41,1,"< 1 Year","No",29548,152,211,0
"Female",22,1,41,1,"< 1 Year","No",22956,152,240,0
"Male",44,1,45,0,"1-2 Year","Yes",25578,124,226,0
"Male",50,1,8,0,"> 2 Years","Yes",45120,25,281,1
"Male",31,1,28,0,"< 1 Year","Yes",40832,152,258,0
"Female",57,1,28,1,"1-2 Year","No",56999,26,293,0
"Male",64,1,22,0,"1-2 Year","Yes",31847,26,83,1
"Female",25,1,8,1,"< 1 Year","No",36532,152,130,0
"Male",31,1,28,0,"< 1 Year","Yes",26275,124,118,1
"Female",25,1,23,1,"< 1 Year","No",24144,152,292,0
"Male",34,1,28,0,"1-2 Year","Yes",22054,122,20,1
"Male",47,1,28,0,"1-2 Year","Yes",43715,26,276,1
"Male",29,1,32,0,"1-2 Year","Yes",37526,157,167,1
"Male",23,1,27,1,"< 1 Year","No",29957,152,58,0
"Male",49,1,46,0,"> 2 Years","Yes",29628,124,128,0
"Male",65,1,48,0,"1-2 Year","Yes",2630,26,222,1
"Female",41,1,33,0,"1-2 Year","No",37610,124,86,1
"Female",32,1,24,0,"< 1 Year","Yes",41559,124,136,0
"Female",49,1,12,0,"1-2 Year","Yes",35575,26,182,0
"Male",24,1,28,1,"< 1 Year","No",37473,153,174,0
"Female",23,1,46,0,"1-2 Year","Yes",24713,154,165,1
"Female",44,1,28,0,"1-2 Year","Yes",45506,26,107,1
