"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"Female",69,1,18,0,"1-2 Year","Yes",30539,124,107,1
"Female",22,1,30,0,"< 1 Year","Yes",26405,152,271,0
"Female",24,1,30,1,"< 1 Year","No",25057,152,118,0
"Male",30,1,23,1,"< 1 Year","No",42929,26,282,0
"Male",50,1,28,0,"1-2 Year","Yes",47191,26,156,1
"Female",42,1,28,0,"1-2 Year","Yes",43278,26,133,1
"Male",22,1,11,1,"< 1 Year","No",30194,152,254,0
"Male",53,1,36,0,"1-2 Year","Yes",35490,26,254,0
"Male",50,1,8,0,"> 2 Years","Yes",48808,26,42,1
"Female",63,1,29,0,"1-2 Year","Yes",33138,124,82,0
"Female",21,1,15,1,"< 1 Year","No",98794,152,231,0
"Female",26,1,32,1,"< 1 Year","No",32295,152,171,0
"Male",37,1,45,0,"1-2 Year","Yes",32035,124,182,0
"Female",55,1,28,0,"1-2 Year","No",81067,124,76,0
"Female",22,1,32,1,"< 1 Year","No",32079,160,285,0
"Female",25,1,8,1,"< 1 Year","No",53181,152,38,0
"Female",23,1,46,1,"< 1 Year","No",25064,152,238,0
"Female",42,1,43,0,"1-2 Year","Yes",2630,156,53,1
"Male",33,1,41,0,"< 1 Year","Yes",29192,124,123,1
"Female",32,1,28,0,"< 1 Year","Yes",29413,152,142,0
"Female",21,1,2,0,"< 1 Year","Yes",27043,160,223,0
"Female",38,1,3,1,"1-2 Year","No",20521,124,284,0
"Male",66,1,28,0,"> 2 Years","Yes",44283,26,235,1
"Female",36,1,28,1,"1-2 Year","No",27983,125,252,0
"Female",47,1,28,0,"1-2 Year","Yes",35708,29,49,1
"Male",48,1,41,0,"1-2 Year","Yes",31934,124,44,1
"Male",23,1,14,1,"1-2 Year","Yes",2630,157,79,0
"Female",46,1,8,0,"1-2 Year","Yes",41963,26,264,0
"Male",44,1,20,0,"1-2 Year","Yes",2630,26,237,1
"Female",55,1,0,0,"1-2 Year","Yes",2630,122,57,0
"Female",48,1,39,0,"1-2 Year","Yes",46197,26,178,1
"Female",33,1,8,0,"1-2 Year","Yes",36380,124,165,1
"Female",48,1,28,0,"1-2 Year","Yes",66716,26,178,1
"Male",29,1,8,0,"1-2 Year","Yes",24094,124,227,1
"Female",22,1,18,1,"< 1 Year","No",29326,152,153,0
"Female",59,1,29,0,"1-2 Year","Yes",38815,26,156,1
"Female",46,1,28,0,"1-2 Year","Yes",43922,26,105,1
"Male",24,1,25,1,"< 1 Year","No",58156,152,77,0
"Male",53,1,28,0,"1-2 Year","Yes",60067,26,258,0
"Female",42,1,20,0,"1-2 Year","Yes",2630,26,286,1
"Male",42,1,50,0,"1-2 Year","Yes",33384,124,174,0
"Male",24,1,37,0,"< 1 Year","Yes",2630,152,285,0
"Male",24,1,41,1,"< 1 Year","No",24157,152,293,0
"Female",23,1,11,0,"< 1 Year","Yes",22142,152,119,0
"Female",21,1,32,0,"< 1 Year","Yes",34217,160,94,0
"Female",45,1,19,0,"1-2 Year","Yes",26460,26,45,1
"Female",20,1,32,1,"< 1 Year","No",30975,160,135,0
"Female",31,1,35,0,"< 1 Year","Yes",39731,124,143,1
"Male",46,1,28,0,"1-2 Year","Yes",70649,26,187,0
